0.032,0.055,0.052,0.048,0.095,-0.001,0.093
0.07,0.048,-0.071,0.067,0.086,0.055,0.082
0.05,-0.072,-0.041,0.036,0.121,0.067,0.004
0.028,0.061,-0.034,0.076,-0.039,-0.031,0.057
0.015,-0.028,0.052,0.139,0.021,0.098,0.053
0.059,0.061,0.017,0.052,-0.061,0.065,0.069
0.07,0.047,-0.008,0.075,0.017,0.071,0.019
-0.004,0.028,0.123,0.055,0.061,0.066,0.106
0.029,0.071,0.061,-0.014,0.158,0.115,-0.126
0.01,0.081,0.065,0.182,-0.059,0.04,0.103
-0.1,0.015,0.022,0.014,0.256,-0.116,0.008
-0.059,0.057,-0.021,0.009,0.038,0.054,0.045
0.03,-0.037,-0.006,-0.016,-0.084,0.046,-0.108
-0.05,-0.026,0.002,-0.025,0.018,0.08,-0.055
0.027,0.099,-0.006,-0.058,-0.169,-0.058,-0.046
-0.025,0.066,0.01,-0.021,-0.08,-0.072,-0.109
-0.051,0.034,0.02,0.073,-0.173,-0.06,0.137
0.128,0.018,0.018,0.069,-0.133,0.033,0.048
0.004,0.006,-0.054,0.136,0.007,-0.187,0.051
0.003,-0.01,0.038,0.086,-0.028,-0.053,0.129
-0.016,-0.093,0.095,-0.01,0.04,0.083,-0.151
-0.01,0.037,0.052,-0.063,-0.004,-0.017,-0.035
0.115,-0.025,-0.068,0.16,-0.001,-0.065,0.131
0.14,-0.065,-0.063,-0.059,0.084,0.066,0.031
0.015,-0.015,0.031,-0.026,0.038,0.039,0.085
